params,MostNaive,DeepDataDepthAnomalyDetector
"('MNIST-C_zigzag', 0.05, 1)",,
"('MNIST-C_zigzag', 0.1, 1)",,
"('MNIST-C_zigzag', 0.25, 1)",,
"('MNIST-C_zigzag', 0.5, 1)",,
"('MNIST-C_zigzag', 0.75, 1)",,
"('MNIST-C_zigzag', 1.0, 1)",,
"('MNIST-C_brightness', 0.0, 1)",0.34617076023391813,0.4025730994152047
"('MNIST-C_brightness', 0.01, 1)",,
"('MNIST-C_brightness', 0.05, 1)",,
"('MNIST-C_brightness', 0.1, 1)",,
"('MNIST-C_brightness', 0.25, 1)",,
"('MNIST-C_brightness', 0.5, 1)",,
"('MNIST-C_brightness', 0.75, 1)",,
"('MNIST-C_brightness', 1.0, 1)",,
"('SVHN_2', 0.0, 1)",0.5193239766081872,0.49748771929824565
"('SVHN_2', 0.01, 1)",,
"('SVHN_2', 0.05, 1)",,
"('SVHN_2', 0.1, 1)",,
"('SVHN_2', 0.25, 1)",,
"('SVHN_2', 0.5, 1)",,
"('SVHN_2', 0.75, 1)",,
"('SVHN_2', 1.0, 1)",,
"('SVHN_1', 0.0, 1)",0.5494152046783626,0.5566198830409357
"('SVHN_1', 0.01, 1)",,
"('SVHN_1', 0.05, 1)",,
"('SVHN_1', 0.1, 1)",,
"('SVHN_1', 0.25, 1)",,
"('SVHN_1', 0.5, 1)",,
"('SVHN_1', 0.75, 1)",,
"('SVHN_1', 1.0, 1)",,
"('MNIST-C_canny_edges', 0.0, 1)",0.5767391812865497,0.9416608187134503
"('MNIST-C_canny_edges', 0.01, 1)",,
"('MNIST-C_canny_edges', 0.05, 1)",,
"('MNIST-C_canny_edges', 0.1, 1)",,
"('MNIST-C_canny_edges', 0.25, 1)",,
"('MNIST-C_canny_edges', 0.5, 1)",,
"('MNIST-C_canny_edges', 0.75, 1)",,
"('MNIST-C_canny_edges', 1.0, 1)",,
"('MNIST-C_dotted_line', 0.0, 1)",0.6375625730994152,0.6009754385964912
