params,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM,MostNaive,DeepDataDepthAnomalyDetector
"('CIFAR10_7', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_7', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_7', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_7', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_7', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_7', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.0, 1)",0.8984725738396624,0.9035696202531646,0.9490126582278481,0.8846919831223629,0.9163037974683544,0.9000675105485232,0.9026497890295359,0.9268776371308016,0.884464135021097,0.8087932489451477,0.9221012658227848,0.8787257383966245,0.5615527426160337,0.8447594936708861,0.910759493670886,0.9326582278481013
"('CIFAR10_1', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_1', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.0, 1)",0.8487341772151898,0.8193502109704642,0.8841856540084387,0.593831223628692,0.8552742616033755,0.8350042194092828,0.8383291139240507,0.8594177215189873,0.7438396624472575,0.5427848101265822,0.8647510548523207,0.7785147679324895,0.6266666666666667,0.7102995780590717,0.8501265822784811,0.8688270042194093
"('CIFAR10_2', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_2', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.0, 1)",0.8276962025316454,0.8296708860759493,0.8961012658227848,0.39032067510548524,0.8750632911392405,0.8439915611814345,0.8547004219409283,0.759029535864979,0.8391814345991561,0.3730632911392405,0.8920759493670886,0.6182194092827005,0.5668354430379746,0.7896708860759494,0.8592995780590716,0.8695189873417722
"('CIFAR10_3', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_3', 0.75, 1)",,,,,,,,,,,,,,,,
