params,DeepDataDepthAnomalyDetector
"('40_vowels', 0.01, 1)",
"('40_vowels', 0.05, 1)",
"('40_vowels', 0.1, 1)",
"('40_vowels', 0.25, 1)",
"('40_vowels', 0.5, 1)",
"('40_vowels', 0.75, 1)",
"('40_vowels', 1.0, 1)",
"('47_yeast', 0.0, 1)",0.4313014679556033
"('47_yeast', 0.01, 1)",
"('47_yeast', 0.05, 1)",
"('47_yeast', 0.1, 1)",
"('47_yeast', 0.25, 1)",
"('47_yeast', 0.5, 1)",
"('47_yeast', 0.75, 1)",
"('47_yeast', 1.0, 1)",
"('20news_5', 0.0, 1)",0.5599442841508309
"('20news_5', 0.01, 1)",
"('20news_5', 0.05, 1)",
"('20news_5', 0.1, 1)",
"('20news_5', 0.25, 1)",
"('20news_5', 0.5, 1)",
"('20news_5', 0.75, 1)",
"('20news_5', 1.0, 1)",
"('20_letter', 0.0, 1)",0.4955555555555556
"('20_letter', 0.01, 1)",
"('20_letter', 0.05, 1)",
"('20_letter', 0.1, 1)",
"('20_letter', 0.25, 1)",
"('20_letter', 0.5, 1)",
"('20_letter', 0.75, 1)",
"('20_letter', 1.0, 1)",
"('20news_4', 0.0, 1)",0.5584778012684989
"('20news_4', 0.01, 1)",
"('20news_4', 0.05, 1)",
"('20news_4', 0.1, 1)",
"('20news_4', 0.25, 1)",
"('20news_4', 0.5, 1)",
"('20news_4', 0.75, 1)",
"('20news_4', 1.0, 1)",
"('6_cardio', 0.0, 1)",0.9558482973311568
"('6_cardio', 0.01, 1)",
"('6_cardio', 0.05, 1)",
"('6_cardio', 0.1, 1)",
"('6_cardio', 0.25, 1)",
"('6_cardio', 0.5, 1)",
"('6_cardio', 0.75, 1)",
"('6_cardio', 1.0, 1)",
"('12_fault', 0.0, 1)",0.5791689405160989
"('12_fault', 0.01, 1)",
"('12_fault', 0.05, 1)",
"('12_fault', 0.1, 1)",
"('12_fault', 0.25, 1)",
"('12_fault', 0.5, 1)",
"('12_fault', 0.75, 1)",
"('12_fault', 1.0, 1)",
"('17_InternetAds', 0.0, 1)",0.6653977272727272
"('17_InternetAds', 0.01, 1)",
"('17_InternetAds', 0.05, 1)",
"('17_InternetAds', 0.1, 1)",
"('17_InternetAds', 0.25, 1)",
"('17_InternetAds', 0.5, 1)",
"('17_InternetAds', 0.75, 1)",
"('17_InternetAds', 1.0, 1)",
"('7_Cardiotocography', 0.0, 1)",0.7504329004329003
"('7_Cardiotocography', 0.01, 1)",
"('7_Cardiotocography', 0.05, 1)",
"('7_Cardiotocography', 0.1, 1)",
"('7_Cardiotocography', 0.25, 1)",
"('7_Cardiotocography', 0.5, 1)",
"('7_Cardiotocography', 0.75, 1)",
"('7_Cardiotocography', 1.0, 1)",
"('20news_2', 0.0, 1)",0.5227625942913461
"('20news_2', 0.01, 1)",
"('20news_2', 0.05, 1)",
"('20news_2', 0.1, 1)",
"('20news_2', 0.25, 1)",
"('20news_2', 0.5, 1)",
"('20news_2', 0.75, 1)",
"('20news_2', 1.0, 1)",
"('20news_1', 0.0, 1)",0.5310871320560817
"('20news_1', 0.01, 1)",
"('20news_1', 0.05, 1)",
"('20news_1', 0.1, 1)",
"('20news_1', 0.25, 1)",
"('20news_1', 0.5, 1)",
"('20news_1', 0.75, 1)",
"('20news_1', 1.0, 1)",
"('25_musk', 0.0, 1)",0.8996125532739248
"('25_musk', 0.01, 1)",
"('25_musk', 0.05, 1)",
"('25_musk', 0.1, 1)",
"('25_musk', 0.25, 1)",
"('25_musk', 0.5, 1)",
"('25_musk', 0.75, 1)",
"('25_musk', 1.0, 1)",
"('20news_0', 0.0, 1)",0.7349849479346593
"('20news_0', 0.01, 1)",
"('20news_0', 0.05, 1)",
"('20news_0', 0.1, 1)",
"('20news_0', 0.25, 1)",
"('20news_0', 0.5, 1)",
"('20news_0', 0.75, 1)",
"('20news_0', 1.0, 1)",
"('41_Waveform', 0.0, 1)",0.5523762047191758
"('41_Waveform', 0.01, 1)",
"('41_Waveform', 0.05, 1)",
"('41_Waveform', 0.1, 1)",
"('41_Waveform', 0.25, 1)",
"('41_Waveform', 0.5, 1)",
"('41_Waveform', 0.75, 1)",
"('41_Waveform', 1.0, 1)",
"('36_speech', 0.0, 1)",0.5861928104575164
"('36_speech', 0.01, 1)",
"('36_speech', 0.05, 1)",
"('36_speech', 0.1, 1)",
"('36_speech', 0.25, 1)",
"('36_speech', 0.5, 1)",
"('36_speech', 0.75, 1)",
"('36_speech', 1.0, 1)",
"('38_thyroid', 0.0, 1)",0.943743530020704
"('38_thyroid', 0.01, 1)",
"('38_thyroid', 0.05, 1)",
"('38_thyroid', 0.1, 1)",
"('38_thyroid', 0.25, 1)",
"('38_thyroid', 0.5, 1)",
"('38_thyroid', 0.75, 1)",
"('38_thyroid', 1.0, 1)",
"('35_SpamBase', 0.0, 1)",0.5406523830436873
"('35_SpamBase', 0.01, 1)",
"('35_SpamBase', 0.05, 1)",
"('35_SpamBase', 0.1, 1)",
"('35_SpamBase', 0.25, 1)",
"('35_SpamBase', 0.5, 1)",
"('35_SpamBase', 0.75, 1)",
"('35_SpamBase', 1.0, 1)",
"('44_Wilt', 0.0, 1)",0.34061263790993523
"('44_Wilt', 0.01, 1)",
"('44_Wilt', 0.05, 1)",
"('44_Wilt', 0.1, 1)",
"('44_Wilt', 0.25, 1)",
"('44_Wilt', 0.5, 1)",
"('44_Wilt', 0.75, 1)",
"('44_Wilt', 1.0, 1)",
"('SVHN_9', 0.0, 1)",0.4839442446738584
"('SVHN_9', 0.01, 1)",
"('SVHN_9', 0.05, 1)",
"('SVHN_9', 0.1, 1)",
"('SVHN_9', 0.25, 1)",
"('SVHN_9', 0.5, 1)",
"('SVHN_9', 0.75, 1)",
"('SVHN_9', 1.0, 1)",
"('SVHN_0', 0.0, 1)",0.5353190019856687
"('SVHN_0', 0.01, 1)",
"('SVHN_0', 0.05, 1)",
"('SVHN_0', 0.1, 1)",
"('SVHN_0', 0.25, 1)",
"('SVHN_0', 0.5, 1)",
"('SVHN_0', 0.75, 1)",
"('SVHN_0', 1.0, 1)",
"('26_optdigits', 0.0, 1)",0.5548976608187135
"('26_optdigits', 0.01, 1)",
"('26_optdigits', 0.05, 1)",
"('26_optdigits', 0.1, 1)",
"('26_optdigits', 0.25, 1)",
"('26_optdigits', 0.5, 1)",
"('26_optdigits', 0.75, 1)",
"('26_optdigits', 1.0, 1)",
