params,MostNaive
"('40_vowels', 0.05, 1)",
"('40_vowels', 0.1, 1)",
"('40_vowels', 0.25, 1)",
"('40_vowels', 0.5, 1)",
"('40_vowels', 0.75, 1)",
"('40_vowels', 1.0, 1)",
"('47_yeast', 0.0, 1)",0.36504206945936274
"('47_yeast', 0.01, 1)",
"('47_yeast', 0.05, 1)",
"('47_yeast', 0.1, 1)",
"('47_yeast', 0.25, 1)",
"('47_yeast', 0.5, 1)",
"('47_yeast', 0.75, 1)",
"('47_yeast', 1.0, 1)",
"('20news_5', 0.0, 1)",0.49054820415879014
"('20news_5', 0.01, 1)",
"('20news_5', 0.05, 1)",
"('20news_5', 0.1, 1)",
"('20news_5', 0.25, 1)",
"('20news_5', 0.5, 1)",
"('20news_5', 0.75, 1)",
"('20news_5', 1.0, 1)",
"('20_letter', 0.0, 1)",0.47866666666666663
"('20_letter', 0.01, 1)",
"('20_letter', 0.05, 1)",
"('20_letter', 0.1, 1)",
"('20_letter', 0.25, 1)",
"('20_letter', 0.5, 1)",
"('20_letter', 0.75, 1)",
"('20_letter', 1.0, 1)",
"('20news_4', 0.0, 1)",0.5077378435517971
"('20news_4', 0.01, 1)",
"('20news_4', 0.05, 1)",
"('20news_4', 0.1, 1)",
"('20news_4', 0.25, 1)",
"('20news_4', 0.5, 1)",
"('20news_4', 0.75, 1)",
"('20news_4', 1.0, 1)",
"('6_cardio', 0.0, 1)",0.9648456778406287
"('6_cardio', 0.01, 1)",
"('6_cardio', 0.05, 1)",
"('6_cardio', 0.1, 1)",
"('6_cardio', 0.25, 1)",
"('6_cardio', 0.5, 1)",
"('6_cardio', 0.75, 1)",
"('6_cardio', 1.0, 1)",
"('12_fault', 0.0, 1)",0.4220264546139654
"('12_fault', 0.01, 1)",
"('12_fault', 0.05, 1)",
"('12_fault', 0.1, 1)",
"('12_fault', 0.25, 1)",
"('12_fault', 0.5, 1)",
"('12_fault', 0.75, 1)",
"('12_fault', 1.0, 1)",
"('17_InternetAds', 0.0, 1)",0.6439299242424241
"('17_InternetAds', 0.01, 1)",
"('17_InternetAds', 0.05, 1)",
"('17_InternetAds', 0.1, 1)",
"('17_InternetAds', 0.25, 1)",
"('17_InternetAds', 0.5, 1)",
"('17_InternetAds', 0.75, 1)",
"('17_InternetAds', 1.0, 1)",
"('7_Cardiotocography', 0.0, 1)",0.8114718614718615
"('7_Cardiotocography', 0.01, 1)",
"('7_Cardiotocography', 0.05, 1)",
"('7_Cardiotocography', 0.1, 1)",
"('7_Cardiotocography', 0.25, 1)",
"('7_Cardiotocography', 0.5, 1)",
"('7_Cardiotocography', 0.75, 1)",
"('7_Cardiotocography', 1.0, 1)",
"('20news_2', 0.0, 1)",0.5076949319586066
"('20news_2', 0.01, 1)",
"('20news_2', 0.05, 1)",
"('20news_2', 0.1, 1)",
"('20news_2', 0.25, 1)",
"('20news_2', 0.5, 1)",
"('20news_2', 0.75, 1)",
"('20news_2', 1.0, 1)",
"('20news_1', 0.0, 1)",0.5379872274829333
"('20news_1', 0.01, 1)",
"('20news_1', 0.05, 1)",
"('20news_1', 0.1, 1)",
"('20news_1', 0.25, 1)",
"('20news_1', 0.5, 1)",
"('20news_1', 0.75, 1)",
"('20news_1', 1.0, 1)",
"('25_musk', 0.0, 1)",0.7809376210771019
"('25_musk', 0.01, 1)",
"('25_musk', 0.05, 1)",
"('25_musk', 0.1, 1)",
"('25_musk', 0.25, 1)",
"('25_musk', 0.5, 1)",
"('25_musk', 0.75, 1)",
"('25_musk', 1.0, 1)",
"('20news_0', 0.0, 1)",0.6348023491092138
"('20news_0', 0.01, 1)",
"('20news_0', 0.05, 1)",
"('20news_0', 0.1, 1)",
"('20news_0', 0.25, 1)",
"('20news_0', 0.5, 1)",
"('20news_0', 0.75, 1)",
"('20news_0', 1.0, 1)",
"('41_Waveform', 0.0, 1)",0.6310734463276836
"('41_Waveform', 0.01, 1)",
"('41_Waveform', 0.05, 1)",
"('41_Waveform', 0.1, 1)",
"('41_Waveform', 0.25, 1)",
"('41_Waveform', 0.5, 1)",
"('41_Waveform', 0.75, 1)",
"('41_Waveform', 1.0, 1)",
"('36_speech', 0.0, 1)",0.49785539215686275
"('36_speech', 0.01, 1)",
"('36_speech', 0.05, 1)",
"('36_speech', 0.1, 1)",
"('36_speech', 0.25, 1)",
"('36_speech', 0.5, 1)",
"('36_speech', 0.75, 1)",
"('36_speech', 1.0, 1)",
"('38_thyroid', 0.0, 1)",0.858986801242236
"('38_thyroid', 0.01, 1)",
"('38_thyroid', 0.05, 1)",
"('38_thyroid', 0.1, 1)",
"('38_thyroid', 0.25, 1)",
"('38_thyroid', 0.5, 1)",
"('38_thyroid', 0.75, 1)",
"('38_thyroid', 1.0, 1)",
"('35_SpamBase', 0.0, 1)",0.5387283811196855
"('35_SpamBase', 0.01, 1)",
"('35_SpamBase', 0.05, 1)",
"('35_SpamBase', 0.1, 1)",
"('35_SpamBase', 0.25, 1)",
"('35_SpamBase', 0.5, 1)",
"('35_SpamBase', 0.75, 1)",
"('35_SpamBase', 1.0, 1)",
"('44_Wilt', 0.0, 1)",0.29587432290134996
"('44_Wilt', 0.01, 1)",
"('44_Wilt', 0.05, 1)",
"('44_Wilt', 0.1, 1)",
"('44_Wilt', 0.25, 1)",
"('44_Wilt', 0.5, 1)",
"('44_Wilt', 0.75, 1)",
"('44_Wilt', 1.0, 1)",
"('SVHN_9', 0.0, 1)",0.5420968178478908
"('SVHN_9', 0.01, 1)",
"('SVHN_9', 0.05, 1)",
"('SVHN_9', 0.1, 1)",
"('SVHN_9', 0.25, 1)",
"('SVHN_9', 0.5, 1)",
"('SVHN_9', 0.75, 1)",
"('SVHN_9', 1.0, 1)",
"('SVHN_0', 0.0, 1)",0.5326253992920659
"('SVHN_0', 0.01, 1)",
"('SVHN_0', 0.05, 1)",
"('SVHN_0', 0.1, 1)",
"('SVHN_0', 0.25, 1)",
"('SVHN_0', 0.5, 1)",
"('SVHN_0', 0.75, 1)",
"('SVHN_0', 1.0, 1)",
"('26_optdigits', 0.0, 1)",0.5495906432748539
"('26_optdigits', 0.01, 1)",
"('26_optdigits', 0.05, 1)",
"('26_optdigits', 0.1, 1)",
"('26_optdigits', 0.25, 1)",
"('26_optdigits', 0.5, 1)",
"('26_optdigits', 0.75, 1)",
"('26_optdigits', 1.0, 1)",
"('CIFAR10_9', 0.0, 1)",0.6754852320675107
"('CIFAR10_9', 0.01, 1)",
"('CIFAR10_9', 0.05, 1)",
"('CIFAR10_9', 0.1, 1)",
"('CIFAR10_9', 0.25, 1)",
"('CIFAR10_9', 0.5, 1)",
"('CIFAR10_9', 0.75, 1)",
"('CIFAR10_9', 1.0, 1)",
"('CIFAR10_8', 0.0, 1)",0.7058481012658229
"('CIFAR10_8', 0.01, 1)",
"('CIFAR10_8', 0.05, 1)",
"('CIFAR10_8', 0.1, 1)",
"('CIFAR10_8', 0.25, 1)",
"('CIFAR10_8', 0.5, 1)",
"('CIFAR10_8', 0.75, 1)",
"('CIFAR10_8', 1.0, 1)",
"('CIFAR10_7', 0.0, 1)",0.5696033755274262
"('CIFAR10_7', 0.01, 1)",
"('CIFAR10_7', 0.05, 1)",
"('CIFAR10_7', 0.1, 1)",
"('CIFAR10_7', 0.25, 1)",
"('CIFAR10_7', 0.5, 1)",
"('CIFAR10_7', 0.75, 1)",
"('CIFAR10_7', 1.0, 1)",
"('CIFAR10_6', 0.0, 1)",0.6661856540084388
"('CIFAR10_6', 0.01, 1)",
"('CIFAR10_6', 0.05, 1)",
"('CIFAR10_6', 0.1, 1)",
"('CIFAR10_6', 0.25, 1)",
"('CIFAR10_6', 0.5, 1)",
"('CIFAR10_6', 0.75, 1)",
"('CIFAR10_6', 1.0, 1)",
"('CIFAR10_3', 0.0, 1)",0.5805907172995781
"('CIFAR10_3', 0.01, 1)",
"('CIFAR10_3', 0.05, 1)",
"('CIFAR10_3', 0.1, 1)",
"('CIFAR10_3', 0.25, 1)",
"('CIFAR10_3', 0.5, 1)",
"('CIFAR10_3', 0.75, 1)",
"('CIFAR10_3', 1.0, 1)",
"('CIFAR10_4', 0.0, 1)",0.7371054852320674
"('CIFAR10_4', 0.01, 1)",
"('CIFAR10_4', 0.05, 1)",
"('CIFAR10_4', 0.1, 1)",
"('CIFAR10_4', 0.25, 1)",
"('CIFAR10_4', 0.5, 1)",
"('CIFAR10_4', 0.75, 1)",
"('CIFAR10_4', 1.0, 1)",
"('CIFAR10_2', 0.0, 1)",0.5726413502109704
"('CIFAR10_2', 0.01, 1)",
"('CIFAR10_2', 0.05, 1)",
"('CIFAR10_2', 0.1, 1)",
"('CIFAR10_2', 0.25, 1)",
"('CIFAR10_2', 0.5, 1)",
"('CIFAR10_2', 0.75, 1)",
"('CIFAR10_2', 1.0, 1)",
"('CIFAR10_1', 0.0, 1)",0.5597130801687764
"('CIFAR10_1', 0.01, 1)",
"('CIFAR10_1', 0.05, 1)",
